Id,Username,PasswordHash,Role
a1675e73-2af5-43e5-bbf0-6782ea279594,Client Example,AQAAAAIAAYagAAAAEBMzht7DJguFpX3avs+FaULPSk27q1RA/zUL2uTuAOInxuZW5s3MohR/zTU7/och2Q==,Client
13a6111c-8b17-4340-beef-ffe7a6f9cac9,Teacher Example,AQAAAAIAAYagAAAAEMQ+BN7uRDoquO3QrLSZM0Cux3LIEnt/QJuZSirWZ1I5DGlaYndkkKxRqc+4r6fwBw==,Teacher
6ba1c841-834f-4aeb-a285-a500b15638c9,Student Example,AQAAAAIAAYagAAAAEI57DXa1YISTlQwAMT/g50Q/12CUPL/p/j//LrutpFe5ZKAHvzYEt8qqy0B/k/zuRQ==,Student
def02027-9cb8-4297-98a1-a470f707442d,Student 2,AQAAAAIAAYagAAAAELTOCnnQc0mkOIMXio1795HxeUtLxZ6NhfgxTuYYOXkuseyc117IUZl5iDEDoZyH1g==,Student
2fb092e6-3ad1-4bdb-b3b6-c419addd5ae3,Student 3,AQAAAAIAAYagAAAAEAOELux5ph39doTBb7ptpYa01eogYQGz2LfoPxoCzkWGl3dFEOL4TBDbVeiz1V9XCw==,Student
b0f61285-c1c3-4cc2-a4a8-b826f5c1d7e8,Student 4,AQAAAAIAAYagAAAAEBbo7M6eZdqTcnOnh3a1ETAbtCdh0CFTQXHOmNGuGCv3NaDn3Po8KJ/Wro0JQLImSA==,Student
922f27a7-c887-4322-81a1-9f55a16918f3,Student 5,AQAAAAIAAYagAAAAEOCHTU8bsXiMdx7dmMowSD0FFS5c2tZXyyAaprBf2BzL4ESSdSNOyOjMlFqfEZEvHg==,Student
eee4f867-dcd3-45cf-a4e5-2a375611d6e8,Student 6,AQAAAAIAAYagAAAAEE10N2bfwP92jzhKNcNkZuEHgoEcdHDb3rsL3qxl0HD3AhpDVDeeRau5j2PN9Uj74g==,Student
c8c4acec-75f1-486e-b358-38f20a49cdc4,Student 7,AQAAAAIAAYagAAAAEHPfqvG+p/7FSdmgRRKmlCua5uIMfXZeY3o1dgATEz2pbLjHqCMls4sYhGpV1YAfkg==,Student
ccbdda3f-c480-4e40-8435-2a9f11bea50f,Student 8,AQAAAAIAAYagAAAAEM8g2Nj+snmJ0zRQ9sVHUR1G1z5+xxfYOwdRDWeXuPvJztWH8D9t+QnVxGgdPWtzpg==,Student
a59818cc-985c-47c1-87ae-9445a4a2ae4b,Student 9,AQAAAAIAAYagAAAAEPh+M5zmpmESsiUHOuBehGBek6zxVaXAuJEr+GCWUG6QANrGV7QzaEhncgKpnh0PwQ==,Student
339d4f83-1785-438e-9505-2b80f6bed686,Student 10,AQAAAAIAAYagAAAAEAA/5yvAs7WbhdV0MoxSvYDxwpFU8V88SlqfWOcdcMVIdeB7T9oabTCd8pbDuXZUfQ==,Student
fcaaa3d1-1f87-4cfa-9b1e-7a8e5e0b3d11,w7rudO521J2adG,AQAAAAIAAYagAAAAEPS2WTjDMpIx80pr4+9DscTnNbeEtrVQgh201Ykd22H54CpHIPfgARu6sUWb9IRXgA==,Admin
7e5cf5a8-71fc-4d92-9a31-2bca84c66ad0,Marina Mayorga,AQAAAAIAAYagAAAAEFSveoDj6JvxfOsYLI1fxOQ72Pp9RXInrv7yOGCcBO07+7qlzmN+8GaSFBrfG0yqNA==,Teacher
9a8e3d6f-90fb-413f-bbb6-fd1a87a0b48a,Juan Carlos Hidalgo Sosa Admin,AQAAAAIAAYagAAAAEDjfeDDIv3SKufgb1x3uxUKkoCyk+UfLaduxpfDU+2MlUAz+WWxGfh2nU73c4ZIcUQ==,Admin
